Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Score Off,Score Deff,Pass Off,Pass Def,Rush Off,Rush Def,Tot Off,Tot Def
1,Clemson,ACC (Atlantic),1,15,0,9.41,17.04,26.45,96.20,-40.52,13.40,0.94,10.30,-0.93,11.22,0.39
2,Alabama,SEC (West),2,14,1,12.19,13.10,25.29,99.00,-38.20,16.39,0.57,9.17,-0.62,11.86,0.43
3,Georgia,SEC (East),7,11,3,9.53,11.17,20.69,92.38,-36.10,14.39,0.01,9.81,0.43,11.21,0.78
4,Oklahoma,Big 12,4,12,2,21.41,-3.35,18.06,100.00,-19.42,16.50,2.71,10.32,0.77,12.57,2.25
5,Ohio State,Big Ten (East),3,13,1,15.24,2.50,17.74,93.67,-22.29,14.18,2.32,7.80,1.23,10.47,2.25
6,Notre Dame,Ind,5,12,1,5.57,11.84,17.40,82.94,-32.94,13.02,0.52,7.94,0.42,9.73,0.96
7,Michigan,Big Ten (East),14,10,3,5.92,10.56,16.47,86.14,-31.04,13.11,0.88,8.38,0.38,9.88,0.92
8,Louisiana State,SEC (West),6,10,3,8.40,6.81,15.20,87.55,-32.84,13.17,0.32,7.99,-0.14,9.72,0.58
9,Central Florida,American (East),11,12,1,10.24,4.29,14.53,89.30,-26.63,13.16,2.16,9.10,1.20,10.31,2.02
10,Florida,SEC (East),7,10,3,5.91,7.75,13.66,89.84,-33.25,13.19,0.60,9.20,0.64,10.45,0.99
11,Texas A&M,SEC (West),16,9,4,10.78,2.82,13.61,92.26,-29.56,12.91,2.44,9.43,-0.66,10.55,1.48
12,Mississippi State,SEC (West),,8,5,-2.98,16.22,13.24,83.27,-41.23,12.43,-0.06,9.60,-0.91,10.35,0.01
13,Iowa,Big Ten (West),25,9,4,3.60,9.53,13.14,82.13,-31.94,12.14,1.21,7.53,-0.42,9.19,0.79
14,Missouri,SEC (East),,8,5,9.51,3.63,13.14,90.94,-29.12,13.59,2.09,8.53,-0.27,10.36,1.42
15,West Virginia,Big 12,20,8,4,10.45,2.14,12.60,91.91,-26.06,14.61,2.54,8.13,0.67,10.88,1.97
